gardabaer	C	1	Guðlaugur Kristmundsson
gardabaer	C	2	Harpa Þorsteinsdóttir
gardabaer	GB	1	Þorbjörg Þorvaldsdóttir
gardabaer	GB	2	Guðjón Pétur Lýðsson
gardabaer	M	1	Lárus Guðmundsson
gardabaer	M	2	Laufey Gunnþórsdóttir
gardabaer	S	1	Kjartan Atli Kjartansson
gardabaer	S	2	Vilborg Anna Strange Garðarsdóttir
akureyri	D	1	Berglind Ósk Guðmundsdóttir
akureyri	B	1	Sunna Hlín Jóhannesdóttir
akureyri	C	1	Lovísa Oktavía Eyvindsdóttir
akureyri	L	1	Óðinn Svan Óðinsson
akureyri	M	1	Hlynur Jóhannsson
akureyri	S	1	Sindri S. Kristjánsson
akureyri	V	1	Jana Salóme Ingibjargar Jósepsdóttir
akureyri	AL	1	Þórhallur Jónsson
mosfellsbaer	D	1	Hilmar Gunnarsson
mosfellsbaer	B	1	Sævar Birgisson
mosfellsbaer	C	1	Gylfi Þór Þorsteinsson
mosfellsbaer	M	1	Sveinn Óskar Sigurðsson
mosfellsbaer	S	1	Ólafur Ingi Óskarsson
mosfellsbaer	L	1	Árni Jónsson
arborg	B	1	Matthías Bjarnason
arborg	C	1	Heiðrún Kristmundsdóttir
arborg	D	1	Bragi Bjarnason
arborg	S	1	Sigurjón Vídalín Guðmundsson
akranes	B	1	Ragnar Baldvin Sæmundsson
akranes	C	1	Jón Guðni Guðmundsson
akranes	D	1	Líf Lárusdóttir
akranes	M	1	Hrafn Ágúst Björnsson
akranes	S	1	Sigurður Vopni Vatnsdal
mulathing	B	1	Jónína Brynjólfsdóttir
mulathing	D	1	Berglind Harpa Svavarsdóttir
mulathing	M	1	Lárus Bjarnason
mulathing	V	1	Ásrún Mjöll Stefánsdóttir
mulathing	L	1	Hólmfríður Rut Einarsdóttir
fjardabyggd	B	1	Þuríður Lillý Sigurðardóttir
fjardabyggd	D	1	Ragnar Sigurðsson
fjardabyggd	M	1	Hrafn Bjarnason
fjardabyggd	S	1	Stefán Þór Eysteinsson
seltjarnarnes	D	1	Þór Sigurgeirsson
seltjarnarnes	M	1	Skafti Harðarson
seltjarnarnes	SCS	1	Kristinn Ólafsson
vestmannaeyjar	D	1	Eyþór Harðarson
vestmannaeyjar	E	1	Arndís María Kjartansdóttir
vestmannaeyjar	M	1	Jón Þór Guðjónsson
skagafjordur	SGE	1	Gunnar Örn Marteinsson
skagafjordur	SGL	1	Haraldur Þór Jónsson
sudurnesjabaer	B	1	Anton Kristinn Guðmundsson
sudurnesjabaer	D	1	Haukur Andreasson
sudurnesjabaer	M	1	Daði Bergþórsson
sudurnesjabaer	S	1	Svavar Grétarsson
borgarbyggd	B	1	Davíð Sigurðsson
borgarbyggd	D	1	Sigurður Guðmundsson
borgarbyggd	M	1	Haukur Þór Hauksson
borgarbyggd	A	1	Jovana Pavlović
isafjordur	B	1	Kristján Þór Kristjánsson
isafjordur	C	1	Gylfi Ólafsson
isafjordur	D	1	Jónas Þór Birgisson
isafjordur	M	1	Sævar Óli Hjörvarsson
isafjordur	S	1	Svanfríður Guðrún Bergvinsdóttir
hveragerdi	OKH	1	Lárus Jónsson
hveragerdi	B	1	Marta Rut Ólafsdóttir
hveragerdi	S	1	Birgitta Ragnarsdóttir
hveragerdi	D	1	Ingimar Guðmundsson
nordurping	B	1	Eysteinn Heiðar Kristjánsson
nordurping	D	1	Helena Eydís Ingólfsdóttir
nordurping	NPM	1	Rúnar Traustason
nordurping	NBO	1	Ómar Gunnarsson
nordurping	S	1	Kjartan Páll Þórarinsson
nordurping	NPV	1	Aldey Unnar Traustadóttir
olfus	D	1	Grétar Ingi Erlendsson
olfus	S	1	Gunnsteinn R Ómarsson
hornafjordur	B	1	Hjalti Þór Vignisson
hornafjordur	D	1	Gauti Árnason
hornafjordur	HFJK	1	Eyrún Fríða Árnadóttir
hornafjordur	M	1	Reynir Ásgeirsson
rangarthingeystra	B	1	Rafn Bergsson
rangarthingeystra	D	1	Anton Kári Halldórsson
rangarthingeystra	NRE	1	Tómas Birgir Magnússon
fjallabyggd	D	1	Tómas Atli Einarsson
fjallabyggd	H	1	Helgi Jóhannsson
fjallabyggd	S	1	Jóhann K. Jóhannsson
rangarthingytra	RYA	1	Eggert Valur Guðmundsson
rangarthingytra	D	1	Ingvar Pétur Guðbjörnsson
dalvikurbyggd	B	1	Monika Margrét Stefánsdóttir
dalvikurbyggd	D	1	Benedikt Snær Magnússon
dalvikurbyggd	A	1	Börkur Þór Ottósson
dalvikurbyggd	K	1	Helgi Einarsson
vogar	FYRS	1	Gunnar J. Helgason
vogar	D	1	Björg Ásta Þórðardóttir
vogar	VOE	1	Birgir Örn Ólafsson
vogar	VOL	1	Kristinn Björgvinsson
grindavik	B	1	Ásrún Helga Kristinsdóttir
grindavik	D	1	Guðbjörg Eyjólfsdóttir
grindavik	M	1	Magnús Már Jakobsson
grundarfjordur	GFB	1	Fannar Þór Þorfinnsson
grundarfjordur	GFD	1	Jósef Kjartansson
skaftarhreppur	D	1	Sveinn Hreiðar Jensson
skaftarhreppur	SKO	1	Jóhannes Gissurarson
blaskogabyggd	MMM	1	Guðfinnur Ragnar Jóhannsson
blaskogabyggd	BBK	1	Kristján Jón Guðmundsson
grimsnes	GGA	1	Guðmundur Finnbogason
grimsnes	GGO	1	Andrés Bertelsen
skeidgnup	B	1	Einar Eðvald Einarsson
skeidgnup	D	1	Magnús Barðdal
skeidgnup	SFL	1	Eyþór Fannar Sveinsson
skeidgnup	M	1	Högni Elfar Gylfason
hrunamannahreppur	D	1	Jón Bjarnason
hrunamannahreppur	HRL	1	Daði Geir Samúelsson
flohreppur	FLI	1	Árni Eiríksson
flohreppur	FLT	1	Almar Sigurðsson
eyjafjardarsveit	EJF	1	Hermann Ingi Gunnarsson
eyjafjardarsveit	EJK	1	Guðmundur Sigurbjörn Óskarsson
horgarsveit	HBA	1	Jón Gíslason
horgarsveit	B	1	Grímur Rúnar Lárusson
horgarsveit	D	1	Guðmundur Haukur Jakobsson
